Reference	Value	Footprint	Datasheet	Sim.Device	Sim.Pins	Qty														
C1	470uF	Capacitor_THT:CP_Radial_D5.0mm_P2.50mm	~			1		EEU-FM1A471B Panasonic Electronic Components | Capacitors | DigiKey												
"C2, C20"	10uF	Capacitor_THT:CP_Radial_Tantal_D4.5mm_P2.50mm	~			2		TAP106K016SRW KYOCERA AVX | Capacitors | DigiKey												
"C3-C9, C11, C21-C27, C29, C30"	.1uF	Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm	~			17		SR211C104KARTR1 KYOCERA AVX | Capacitors | DigiKey												
"C10, C28"	.1uF	Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm	~			2		SR211C104KARTR1 KYOCERA AVX | Capacitors | DigiKey												
C12-C19	1uF	Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm	~			8		SR211C105KAR KYOCERA AVX | Capacitors | DigiKey												
D1	1N4002	Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal	http://www.vishay.com/docs/88503/1n4001.pdf	D	1=K 2=A	1		1N4002 Diode | Jameco Electronics												
D2	LED	LED_THT:LED_D3.0mm	~			1		SSL-LX5093GD-12V Lumex Opto/Components Inc. | Optoelectronics | DigiKey												
H1-H8	MountingHole_Pad	MountingHole:MountingHole_3.7mm_Pad_TopBottom	~			8														
J1	+5V Center Positive	Connector_BarrelJack:BarrelJack_Horizontal	~			1		"PJ-202AH CUI Devices | Connectors, Interconnects | DigiKey"												
J2	Bank0/1	Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical	~		1x2 pin header strip	1		"68000-220HLF Amphenol ICC (FCI) | Connectors, Interconnects | DigiKey"												
J3	Front Panel Power LED	Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical	~		1x2 pin header strip	1		"68000-220HLF Amphenol ICC (FCI) | Connectors, Interconnects | DigiKey"												
J4	LCD Interface	Connector_PinSocket_2.54mm:PinSocket_1x16_P2.54mm_Vertical	~		1x16 socket header strip	1		Vertical Header Receptacle TDH16SG-VP-R | Jameco Valuepro												
J5	I2C CLK	Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical	~		1x3 pin header strip	1		"68000-220HLF Amphenol ICC (FCI) | Connectors, Interconnects | DigiKey"												
J6	Ser ADDR	Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical	~		2x3 pin header strip	1		"67997-240HLF Amphenol ICC (FCI) | Connectors, Interconnects | DigiKey"												
J7	I2C GND	Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical	~		1x6 pin header strip	1		"colored .100"" pin strip Amazon"												
J8	I2C Vcc	Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical	~		1x6 pin header strip	1		"colored .100"" pin strip Amazon"												
J9	I2C SDA	Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical	~		1x6 pin header strip	1		"colored .100"" pin strip Amazon"												
J10	I2C SCL	Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical	~		1x6 pin header strip	1		"colored .100"" pin strip Amazon"												
J11	RTC Conn	Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical	~		1x5 socket header strip	1		"RS1-05-G Adam Tech | Connectors, Interconnects | DigiKey"												
"J12, J13"	6522 IRQ	Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical	~		1x3 pin header strip	2		"68000-220HLF Amphenol ICC (FCI) | Connectors, Interconnects | DigiKey"												
"J14, J16"	PortA	Connector_PinHeader_2.54mm:PinHeader_2x07_P2.54mm_Vertical	~		2x7 pin header strip	2		"67997-240HLF Amphenol ICC (FCI) | Connectors, Interconnects | DigiKey"												
"J15, J17"	PortB	Connector_PinHeader_2.54mm:PinHeader_2x07_P2.54mm_Vertical	~		2x7 pin header strip	2		"67997-240HLF Amphenol ICC (FCI) | Connectors, Interconnects | DigiKey"												
J18	Conn_Ser1	Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical	~		1x6 socket header strip	1		"RS1-06-G Adam Tech | Connectors, Interconnects | DigiKey"												
J19	Conn_Ser2	Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical	~		1x6 socket header strip	1		"RS1-06-G Adam Tech | Connectors, Interconnects | DigiKey"												
"J20, J21"	DE9_P	Connector_Dsub:DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm	 ~		DB9 Male rt angle	2		"DLS1XP5AK40X Conec | Connectors, Interconnects | DigiKey"												
J22	~{EEWE}	Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical	~		1x3 pin header strip	1		"68000-220HLF Amphenol ICC (FCI) | Connectors, Interconnects | DigiKey"												
J23	EE13	Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical	~		1x3 pin header strip	1		"68000-220HLF Amphenol ICC (FCI) | Connectors, Interconnects | DigiKey"												
J24	EE14	Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical	~		1x3 pin header strip	1		"68000-220HLF Amphenol ICC (FCI) | Connectors, Interconnects | DigiKey"												
J25	Front Panel Reset	Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical	~		1x2 pin header strip	1		"68000-220HLF Amphenol ICC (FCI) | Connectors, Interconnects | DigiKey"												
J55	HM62256	Connector_PinSocket_2.54mm:PinSocket_1x14_P2.54mm_Vertical	~		machined strip	1		SMC-1-30-1-GT Adam Technologies | Jameco												
JP1	EXP BUS	Connector_IDC:IDC-Header_2x20_P2.54mm_Vertical	~		2x20 pin header strip	1		"67997-240HLF Amphenol ICC (FCI) | Connectors, Interconnects | DigiKey"												
JP2	Power	Connector_IDC:IDC-Header_2x04_P2.54mm_Vertical	~		2x4 pin header strip	1		"67997-240HLF Amphenol ICC (FCI) | Connectors, Interconnects | DigiKey"												
R1	2.7K	Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal	~			1		Carbon Film Resistor 1/4 Watt 2.7k Ohm | Jameco Valuepro												
"R2, R12"	470	Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal	~			2		Carbon Film Resistor 1/4 Watt 470 Ohm | Jameco Valuepro												
R3	10	Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal	~			1		Carbon Film Resistor 1/4 Watt 10 Ohm | Jameco Valuepro												
R4-R11	240	Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal	~			8		Carbon Film Resistor 1/4 Watt 240 Ohm | Jameco Valuepro												
